form	lemma	POS	morph
Et	et	CONcoo	MORPH=empty
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
poez	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
mais	mais1	ADVgen	DEGRE=-
faire	faire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
mais	mais1	CONcoo	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
annui	enui	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
contraire	contraire1	NOMcom	NOMB.=s|GENRE=m|CAS=r
an	en2	PROadv	MORPH=empty
avroiz	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
.	.	PONfrt	MORPH=empty
Si	si	ADVgen	DEGRE=-
seroiz	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
honiz	honir	VERppe	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
mauvez	mauvais	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
recreanz	recroire	VERppa	NOMB.=s|GENRE=m|CAS=n
failliz	falir	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
mais	mais1	CONcoo	MORPH=empty
alez	aler	VERcjg	MODE=imp|PERS.=2|NOMB.=p
là	là	ADVgen	DEGRE=-
an	en1	PRE	MORPH=empty
celle	cel	DETdem	NOMB.=s|GENRE=f|CAS=r
fraite	fraite	NOMcom	NOMB.=s|GENRE=f|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
an	en1	PRE	MORPH=empty
celle	cel	DETdem	NOMB.=s|GENRE=f|CAS=r
roiche	roche3	NOMcom	NOMB.=s|GENRE=f|CAS=r
faite	faire	VERppe	NOMB.=s|GENRE=f|CAS=r
;	;	PONfbl	MORPH=empty
là	là	ADVgen	DEGRE=-
troveroiz	trover	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
diroiz	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s
sanz	sans	PRE	MORPH=empty
atargier	atargier	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Vasal	vassal	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
que	que3	PROint	NOMB.=s|GENRE=n|CAS=r
faites	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
ici	ici	ADVgen	DEGRE=-
?	?	PONfrt	MORPH=empty
Lou	le	DETdef	NOMB.=s|GENRE=m|CAS=r
broichet	brochet	NOMcom	NOMB.=s|GENRE=m|CAS=r
ravroiz	ravoir2	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
.	.	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
Percevaux	Perceval	NOMpro	NOMB.=s|GENRE=m|CAS=n
quant	cant1	CONsub	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
saichiez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
que	que4	CONsub	MORPH=empty
molt	mout	ADVgen	DEGRE=-
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
an	en2	PROadv	MORPH=empty
esjoi	esjöir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
damoiselle	damoisele	NOMcom	NOMB.=s|GENRE=f|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dist	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Ne	ne1	ADVneg	MORPH=empty
perdez	perdre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
pas	pas	ADVneg	MORPH=empty
por	por2	PRE	MORPH=empty
si	si	ADVgen	DEGRE=-
petit	petit	ADVgen	DEGRE=-
.	.	PONfrt	MORPH=empty
Alons	aler	VERcjg	MODE=imp|PERS.=1|NOMB.=p
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
ansamble	ensemble	ADVgen	DEGRE=-
.	.	PONfrt	MORPH=empty
