form	lemma	POS	morph
lesserent	laissier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
monterent	monter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
destre	destre	NOMcom	NOMB.=s|GENRE=x|CAS=r
cit	cit	NOMcom	NOMB.=s|GENRE=f|CAS=r
lessierent	laissier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
riches	riche	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
herberges	herberge	NOMcom	NOMB.=p|GENRE=f|CAS=r
vile	vile	NOMcom	NOMB.=s|GENRE=f|CAS=r
vorrent	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
fere	faire	VERinf	MORPH=empty
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
jurent	jesir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
matin	matin2	NOMcom	NOMB.=s|GENRE=m|CAS=r
tornerent	torner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
cueillent	coillir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
tres	tref2	NOMcom	NOMB.=p|GENRE=m|CAS=r
paveillons	paveillon	NOMcom	NOMB.=p|GENRE=m|CAS=r
deublerent	dobler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
aucubes	aucube	NOMcom	NOMB.=p|GENRE=f|CAS=r
somiers	somier2	NOMcom	NOMB.=p|GENRE=m|CAS=r
trosserent	torser2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
mi	mi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
forez	forest	NOMcom	NOMB.=p|GENRE=f|CAS=r
bois	bois	NOMcom	NOMB.=p|GENRE=m|CAS=r
chevauchierent	chevauchier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
trespasserent	trespasser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
aresterent	arester	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
quens	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
vet	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mostier	mostier	NOMcom	NOMB.=s|GENRE=m|CAS=r
orer	orer2	VERinf	MORPH=empty
mars	marc1	NOMcom	NOMB.=p|GENRE=m|CAS=r
argent	argent	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r
autel	autel2	NOMcom	NOMB.=s|GENRE=m|CAS=r
pailes	paile	NOMcom	NOMB.=p|GENRE=m|CAS=r
tapiz	tapiz	NOMcom	NOMB.=p|GENRE=m|CAS=r
roez	röer2	VERppe	NOMB.=s|GENRE=m|CAS=r
Grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
offrende	ofrende	NOMcom	NOMB.=s|GENRE=f|CAS=n
prince	prince	NOMcom	NOMB.=p|GENRE=m|CAS=n
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
doné	doner	VERppe	NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
per	per	NOMcom	NOMB.=s|GENRE=f|CAS=r
mostier	mostier	NOMcom	NOMB.=s|GENRE=m|CAS=r
ist	issir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cort	cort2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
nés	nase	NOMcom	NOMB.=s|GENRE=m|CAS=r
tenoient	tenir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
plet	plait	NOMcom	NOMB.=s|GENRE=m|CAS=r
concile	concile	NOMcom	NOMB.=s|GENRE=m|CAS=r
assenbloient	assembler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
vile	vile	NOMcom	NOMB.=s|GENRE=f|CAS=r
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
place	place	NOMcom	NOMB.=s|GENRE=f|CAS=r
perron	perron	NOMcom	NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
entaillié	entaillier	VERppe	NOMB.=s|GENRE=m|CAS=n
vert	vert	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
marbre	marbre	NOMcom	NOMB.=s|GENRE=m|CAS=r
descendi	descendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
borse	borse	NOMcom	NOMB.=s|GENRE=f|CAS=r
deniers	denier	NOMcom	NOMB.=p|GENRE=m|CAS=r
deslace	deslacier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
poigniee	poigniee	NOMcom	NOMB.=s|GENRE=f|CAS=r
bons	bon	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
deniers	denier	NOMcom	NOMB.=p|GENRE=m|CAS=r
sache	sachier2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
demande	demander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
prent	prendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
guionnache	guionage	NOMcom	NOMB.=s|GENRE=m|CAS=r
velt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
riens	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
Dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
paien	paien	NOMcom	NOMB.=p|GENRE=m|CAS=n
avroiz	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
garde	garde	NOMcom	NOMB.=s|GENRE=f|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
lignage	lignage	NOMcom	NOMB.=s|GENRE=m|CAS=r
disoit	dire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
orgueill	orgueil	NOMcom	NOMB.=s|GENRE=m|CAS=r
outrage	outrage	NOMcom	NOMB.=s|GENRE=m|CAS=r
pendist	pendre	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
gueule	gole	NOMcom	NOMB.=s|GENRE=f|CAS=r
arbre	arbre	NOMcom	NOMB.=s|GENRE=m|CAS=r
vont	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
parlant	parler	VERppa	NOMB.=x|GENRE=x|CAS=x
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r
pledoiant	plaidoiier	VERppa	NOMB.=x|GENRE=x|CAS=x
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
prendre	prendre	VERinf	MORPH=empty
honte	honte	NOMcom	NOMB.=s|GENRE=f|CAS=r
vit	vivre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
