form	lemma	POS	morph
Sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
charité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
fei	foi	NOMcom	NOMB.=s|GENRE=f|CAS=n
non	non	ADVneg	MORPH=empty
feinte	feindre	VERppe	NOMB.=s|GENRE=f|CAS=n
ensement	ensement	ADVgen	DEGRE=-
od	o4	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
seinte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
tot	tot	PROind	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
sanz	sans	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
porent	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
par	par	PRE	MORPH=empty
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r
confermer	confermer	VERinf	MORPH=empty
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r
eslection	eleccïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
En	en1	PRE	MORPH=empty
itel	itel	DETind	NOMB.=s|GENRE=f|CAS=r
guise	guise	NOMcom	NOMB.=s|GENRE=f|CAS=r
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
serf	serf	NOMcom	NOMB.=s|GENRE=m|CAS=n
Dé	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
par	par	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
emperere	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
confermé	confermer	VERppe	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
mais	mais1	CONcoo	MORPH=empty
veirement	voirement	ADVgen	DEGRE=-
n	ne1	ADVneg	MORPH=empty
’	’	PONfbl	MORPH=empty
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
tant	tant	ADVgen	DEGRE=-
dis	di	NOMcom	NOMB.=p|GENRE=m|CAS=r
choumant	chomer	VERppa	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	MORPH=empty
perreçous	pereços	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
n	ne2	CONcoo	MORPH=empty
’	’	PONfbl	MORPH=empty
oisdis	oisdif	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
;	;	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
entretant	entretant	ADVgen	DEGRE=-
com	come1	CONsub	MORPH=empty
atendoient	atendre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
Romain	romain	NOMpro	NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
molt	mout	ADVgen	DEGRE=-
desiroient	desirrer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
assentement	assentement1	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
emperere	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
e	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
pestilence	pestilence	NOMcom	NOMB.=s|GENRE=f|CAS=n
regiere	regieres	ADVgen	DEGRE=-
lu	le	DETdef	NOMB.=s|GENRE=m|CAS=r
poeple	pueple	NOMcom	NOMB.=s|GENRE=m|CAS=r
ocist	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	et	CONcoo	MORPH=empty
deguastot	degaster	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Gregoire	Gregoire	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
serf	serf	NOMcom	NOMB.=s|GENRE=m|CAS=n
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
devot	devot	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
trestoz	trestot	PROind	NOMB.=p|GENRE=m|CAS=r
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
feseit	faire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
assembler	assembler	VERinf	MORPH=empty
