form	lemma	POS	morph
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
serf	cerf	NOMcom	NOMB.=s|GENRE=m|CAS=r
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
choisi	choisir	VERppe	NOMB.=s|GENRE=m|CAS=r
lien	liien	NOMcom	NOMB.=s|GENRE=m|CAS=r
chien	chien	NOMcom	NOMB.=s|GENRE=m|CAS=r
abati	abatre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
brachet	brachet	NOMcom	NOMB.=p|GENRE=m|CAS=n
suit	sivre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
boisa	boisier1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
crie	crïer2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sone	soner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
corn	cor2	NOMcom	NOMB.=s|GENRE=m|CAS=r
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chien	chien	NOMcom	NOMB.=s|GENRE=m|CAS=r
veneors	venëor	NOMcom	NOMB.=p|GENRE=m|CAS=n
fusent	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
brachés	brachet	NOMcom	NOMB.=p|GENRE=m|CAS=r
eussent	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
feisent	faire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
pas	pas	NOMcom	NOMB.=s|GENRE=m|CAS=r
veit	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
serf	cerf	NOMcom	NOMB.=s|GENRE=m|CAS=r
ateignant	ataindre	VERppa	NOMB.=x|GENRE=x|CAS=x
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
turné	torner	VERppe	NOMB.=s|GENRE=m|CAS=n
rivere	riviere	NOMcom	NOMB.=s|GENRE=f|CAS=r
fiere	fiere1	NOMcom	NOMB.=s|GENRE=f|CAS=r
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
brachet	brachet	NOMcom	NOMB.=s|GENRE=m|CAS=n
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
bosoyn	besoing	NOMcom	NOMB.=s|GENRE=m|CAS=r
serfs	cerf	NOMcom	NOMB.=s|GENRE=m|CAS=n
esteit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
las	las	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
crent	criembre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vermeil	vermeil1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
penuncel	penoncel	NOMcom	NOMB.=s|GENRE=m|CAS=r
ferm	ferm	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
gleive	glaive	NOMcom	NOMB.=s|GENRE=m|CAS=r
frecel	fresel	NOMcom	NOMB.=s|GENRE=m|CAS=r
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r
clot	clore	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
lance	lance	NOMcom	NOMB.=s|GENRE=f|CAS=r
alugne	aloignier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vot	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
suffrir	sofrir	VERinf	MORPH=empty
goigne	joindre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
veit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
venir	venir	VERinf	MORPH=empty
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
semblant	semblant	NOMcom	NOMB.=s|GENRE=m|CAS=r
guenchir	guenchir	VERinf	MORPH=empty
destrer	destrier1	NOMcom	NOMB.=s|GENRE=m|CAS=r
broche	brochier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
lance	lance	NOMcom	NOMB.=s|GENRE=f|CAS=r
abesse	abaissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
randun	randon	NOMcom	NOMB.=s|GENRE=m|CAS=r
eslesse	eslaissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
entrevenent	entrevenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
irascuz	irascu	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
entreferent	entreferir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
escuz	escu	NOMcom	NOMB.=p|GENRE=m|CAS=r
quit	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cuntree	contree	NOMcom	NOMB.=s|GENRE=f|CAS=r
eust	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
juste	joste2	NOMcom	NOMB.=s|GENRE=f|CAS=r
esgardee	esgarder	VERppe	NOMB.=s|GENRE=f|CAS=r
dames	dame	NOMcom	NOMB.=p|GENRE=f|CAS=r
dameiseles	damoisele	NOMcom	NOMB.=p|GENRE=f|CAS=r
chevalers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r
puceles	pucele	NOMcom	NOMB.=p|GENRE=f|CAS=r
turnei	tornoi	NOMcom	NOMB.=s|GENRE=m|CAS=r
avereie	avoir	VERcjg	MODE=con|PERS.=1|NOMB.=s
nuvel	novel	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
hume	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
serreie	estre1	VERcjg	MODE=con|PERS.=1|NOMB.=s
Beaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
savez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
gaaigné	gäaignier1	VERppe	NOMB.=s|GENRE=m|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
mund	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
valeit	valoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
estrus	estros	NOMcom	NOMB.=s|GENRE=m|CAS=r
tendereie	tenir1	VERcjg	MODE=con|PERS.=1|NOMB.=s
sauf	sauf	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
heitez	haitier	VERppe	NOMB.=s|GENRE=m|CAS=n
ere	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nez	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
mere	mere	NOMcom	NOMB.=s|GENRE=f|CAS=r
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
aveir	avoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
petit	petit	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
desirast	desirrer	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
venu	venir	VERppe	NOMB.=p|GENRE=m|CAS=n
unt	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
segnur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
veu	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r
descumforterent	desconforter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
plest	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
meine	mener	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
destrer	destrier1	NOMcom	NOMB.=s|GENRE=m|CAS=r
rescus	rescorre	VERppe	NOMB.=s|GENRE=m|CAS=n
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
chevaler	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
orrez	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
aventure	aventure	NOMcom	NOMB.=s|GENRE=f|CAS=r
esteit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
pituse	pitos	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
dure	dur	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
portout	porter	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
banere	baniere	NOMcom	NOMB.=s|GENRE=f|CAS=r
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
vaillant	vaillant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
manere	maniere	NOMcom	NOMB.=s|GENRE=f|CAS=r
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
vassal	vassal	NOMcom	NOMB.=s|GENRE=m|CAS=r
frere	frere	NOMcom	NOMB.=s|GENRE=m|CAS=r
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ere	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fet	faire	VERppe	NOMB.=s|GENRE=m|CAS=n
chevaler	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
age	ëage	NOMcom	NOMB.=s|GENRE=m|CAS=r
erent	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
amé	amer1	VERppe	NOMB.=s|GENRE=m|CAS=r
riches	riche	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
fius	fief	NOMcom	NOMB.=p|GENRE=m|CAS=r
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
duné	doner	VERppe	NOMB.=s|GENRE=m|CAS=r
terres	terre	NOMcom	NOMB.=p|GENRE=f|CAS=r
granz	grant	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
chacemenz	chasement	NOMcom	NOMB.=p|GENRE=m|CAS=r
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
chastel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r
menee	menee	NOMcom	NOMB.=s|GENRE=f|CAS=r
unt	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
feite	faire	VERppe	NOMB.=s|GENRE=f|CAS=r
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
retraite	retraire	VERppe	NOMB.=s|GENRE=f|CAS=n
curt	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
petit	petit	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
voit	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
gabant	gaber	VERppa	NOMB.=x|GENRE=x|CAS=x
chevaler	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
meschine	meschine	NOMcom	NOMB.=s|GENRE=f|CAS=n
sule	sol1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
reine	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=n
pesa	peser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
desmesure	desmesure	NOMcom	NOMB.=s|GENRE=f|CAS=r
ama	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
venu	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
quer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
apele	apeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
salue	salüer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
main	main2	NOMcom	NOMB.=s|GENRE=f|CAS=r
main	main2	NOMcom	NOMB.=s|GENRE=f|CAS=r
sale	sale1	NOMcom	NOMB.=s|GENRE=f|CAS=r
vont	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
manger	mangier	NOMcom	NOMB.=s|GENRE=m|CAS=r
asis	asseoir	VERppe	NOMB.=p|GENRE=m|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
aveient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
demi	demi2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
manjé	mangier	VERppe	NOMB.=s|GENRE=m|CAS=r
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
enveié	envoiier	VERppe	NOMB.=s|GENRE=m|CAS=r
chamberlanc	chamberlenc	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
reine	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r
espuse	espose	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
niez	nevo	NOMcom	NOMB.=s|GENRE=m|CAS=n
redites	redire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
dans	dan2	NOMcom	NOMB.=s|GENRE=m|CAS=n
vassauz	vassal	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
venuz	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
chevauz	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=n
respunt	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chaut	chaloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
saut	sauver	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
frere	frere	NOMcom	NOMB.=s|GENRE=m|CAS=r
destrer	destrier1	NOMcom	NOMB.=s|GENRE=m|CAS=n
venistes	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p
leger	legier2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
savez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
paiastes	paiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p
fis	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
coup	coup1	NOMcom	NOMB.=s|GENRE=m|CAS=r
lance	lance	NOMcom	NOMB.=s|GENRE=f|CAS=r
fetes	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
vantance	vantance	NOMcom	NOMB.=s|GENRE=f|CAS=r
faz	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
voudreie	voloir	VERcjg	MODE=con|PERS.=1|NOMB.=s
aveir	avoir	VERinf	MORPH=empty
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
esperuner	esperoner	VERinf	MORPH=empty
pussez	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
mener	mener	VERinf	MORPH=empty
Granz	grant	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
fius	fief	NOMcom	NOMB.=p|GENRE=m|CAS=r
duna	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bons	bon	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
chasteaus	chastel	NOMcom	NOMB.=p|GENRE=m|CAS=r
ferma	fermer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
malveis	mauvais	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
garçun	garçon	NOMcom	NOMB.=s|GENRE=m|CAS=r
dunast	doner	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
guareisun	garison	NOMcom	NOMB.=s|GENRE=f|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
amanz	amant	NOMcom	NOMB.=p|GENRE=m|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
anz	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=n
dura	durer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cureça	corrocier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
jurz	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
delit	delit2	NOMcom	NOMB.=s|GENRE=m|CAS=r
erent	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
beaus	bel1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
enfans	enfant	NOMcom	NOMB.=p|GENRE=m|CAS=r
engendrerent	engendrer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
estorie	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
faite	faire	VERppe	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estraite	estraire	VERppe	NOMB.=s|GENRE=f|CAS=n
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
querrez	querre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
avint	avenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
