form	lemma	POS	morph
qu	que4	CONsub	MORPH=empty
’	’	PONfbl	MORPH=empty
autre	autre	DETind	NOMB.=s|GENRE=f|CAS=r
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
vosissent	voloir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
creire	croire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Mes	mais1	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
sainz	saint	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vot	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
recreire	recroire	VERinf	MORPH=empty
por	por2	PRE	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
manace	menace	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
faire	faire	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
ainz	ainz	ADVgen	DEGRE=-
voleit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
destruire	destruire	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
deffaire	desfaire	VERinf	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r
ymagres	image	NOMcom	NOMB.=p|GENRE=f|CAS=r
dedenz	dedenz	PRE	MORPH=empty
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
temples	temple3	NOMcom	NOMB.=p|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Si	si	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
arragerent	arrachier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
temples	temple1	NOMcom	NOMB.=p|GENRE=f|CAS=r
maintes	maint	DETind	NOMB.=p|GENRE=f|CAS=r
feiz	foiz	NOMcom	NOMB.=p|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
batirent	batre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
et	et	CONcoo	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
robe	robe	NOMcom	NOMB.=s|GENRE=f|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
derompirent	desrompre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
Sarrazin	sarrasin	NOMpro	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
qui	que2	PROrel	NOMB.=p|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
haïrent	häir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
depecer	depecier	VERinf	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
soffrirent	sofrir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
dex	dieu	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
depecer	depecier	VERinf	MORPH=empty
voleit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Mes	mais1	CONcoo	MORPH=empty
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
c	100	DETcar	NOMB.=p|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
tanz	tens	NOMcom	NOMB.=p|GENRE=m|CAS=r
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
doleit	doloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
dont	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r
ymagres	image	NOMcom	NOMB.=p|GENRE=f|CAS=r
