form	lemma	POS	morph
En	en1	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
joel	jöel	NOMcom	NOMB.=s|GENRE=m|CAS=r
per	per	NOMcom	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
maistrise	maistrise	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Las	las	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
!	!	PONfrt	MORPH=empty
ta	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=n
bontey	bonté	NOMcom	NOMB.=s|GENRE=f|CAS=n
ne	ne2	CONcoo	MORPH=empty
ta	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=n
valour	valor	NOMcom	NOMB.=s|GENRE=f|CAS=n
ne	ne1	ADVneg	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ne	ne2	CONcoo	MORPH=empty
froit	froit1	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne2	CONcoo	MORPH=empty
chalour	chalor	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Estrange	estrange	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	a3	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
ta	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=n
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	MORPH=empty
en	en1	PRE	MORPH=empty
toi	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
truis	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
point	point	ADVneg	MORPH=empty
de	de	PRE	MORPH=empty
pasture	pasture1	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Muez	mieus	ADVgen	DEGRE=c
ainz	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
grains	grain	NOMcom	NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
fromant	forment	NOMcom	NOMB.=s|GENRE=m|CAS=r
ou	o3	CONcoo	MORPH=empty
d	de	PRE	MORPH=empty
’	’	PONfbl	MORPH=empty
orge	orge	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
quar	car	CONcoo	MORPH=empty
miez	mieus	ADVgen	DEGRE=c
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ovrir	ovrir	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
gorge	gorge	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
Or	or4	ADVgen	DEGRE=-
entent	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
moralitey	mortalité	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
prent	prendre	VERcjg	MODE=imp|PERS.=2|NOMB.=s
por	por2	PRE	MORPH=empty
auctoritey	autorité	NOMcom	NOMB.=s|GENRE=f|CAS=r
:	:	PONfbl	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
riche	riche	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
jaspe	jaspe	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
c	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
’	’	PONfbl	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
savoir	savoir	VERinf	MORPH=empty
que	que4	CONsub	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
fox	fol3	NOMcom	NOMB.=s|GENRE=m|CAS=n
pous	pol3	NOMcom	NOMB.=p|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avoir	avoir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Bone	bon	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
donc	donc	ADVgen	DEGRE=-
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
comparoison	compagnon	NOMcom	NOMB.=s|GENRE=f|CAS=n
dou	de+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
foul	fol3	NOMcom	NOMB.=s|GENRE=m|CAS=r
à	a3	PRE	MORPH=empty
poul	pol3	NOMcom	NOMB.=s|GENRE=m|CAS=r
qu	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
’	’	PONfbl	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sanz	sans	PRE	MORPH=empty
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Sapience	sapïence	NOMcom	NOMB.=s|GENRE=f|CAS=n
qu	que2	PROrel	NOMB.=s|GENRE=f|CAS=n
’	’	PONfbl	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
espandue	espandre	VERppe	NOMB.=s|GENRE=f|CAS=n
entre	entre2	PRE	MORPH=empty
fous	fol3	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
c	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
’	’	PONfbl	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n
perdue	perdre	VERppe	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
«	«	PONfbl	MORPH=empty
Beax	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fiz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
ovre	ovrir	VERcjg	MODE=imp|PERS.=2|NOMB.=s
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
tost	tost1	ADVgen	DEGRE=p
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
porte	porte1	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
