form	lemma	POS	morph
ke	que4	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
à	a3	PRE	MORPH=empty
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
pooir	pöoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
tort	tort2	NOMcom	NOMB.=s|GENRE=m|CAS=r
à	a3	PRE	MORPH=empty
folie	folie2	NOMcom	NOMB.=s|GENRE=f|CAS=r
u	o3	CONcoo	MORPH=empty
à	a3	PRE	MORPH=empty
savoir	savoir	VERinf	MORPH=empty
Ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ferai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
vos	vostre	DETpos	PERS.=2|NOMB.=p|GENRE=m|CAS=r
conmandemens	comandement	NOMcom	NOMB.=p|GENRE=m|CAS=r
por	por2	PRE	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
geupirai	guerpir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
mes	mon1	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r
gens	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=n
Ja	ja	ADVgen	DEGRE=-
mais	mais1	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
quier	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
de	de	PRE	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=r
partir	partir	VERinf	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
riens	rien	NOMcom	NOMB.=s|GENRE=f|CAS=n
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
plus	plus	ADVgen	DEGRE=c
desir	desirrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
Quant	cant1	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
ot	öir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
parler	parler	VERinf	MORPH=empty
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
peut	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tant	tant	ADVgen	DEGRE=-
amer	amer1	VERinf	MORPH=empty
s	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
otroie	otroiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Or	or4	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Lanvax	Lanval	NOMpro	NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
droite	droit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
voie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r
Un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
don	don	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
doné	doner	VERppe	NOMB.=s|GENRE=m|CAS=r
apres	après	ADVgen	DEGRE=-
icele	icel	DETdem	NOMB.=s|GENRE=f|CAS=n
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=n
ne	ne1	ADVneg	MORPH=empty
vaudra	valoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
mes	mais1	ADVgen	DEGRE=-
que	que1	ADVgen	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
