form	lemma	POS	morph
circoncision	circoncisïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
conmencement	comencement	NOMcom	NOMB.=s|GENRE=m|CAS=r
oncion	oncïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
recevons	recevoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
baptesme	batesme	NOMcom	NOMB.=s|GENRE=m|CAS=r
oile	uile	NOMcom	NOMB.=s|GENRE=m|CAS=r
beneoit	benëir	VERppe	NOMB.=s|GENRE=m|CAS=r
cresme	cresme	NOMcom	NOMB.=s|GENRE=m|CAS=r
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
amer	amer1	VERinf	MORPH=empty
croire	croire	VERinf	MORPH=empty
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
belle	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
aparance	aparance	NOMcom	NOMB.=s|GENRE=f|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
amour	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
honorance	onorance	NOMcom	NOMB.=s|GENRE=f|CAS=r
angle	angele	NOMcom	NOMB.=s|GENRE=m|CAS=r
manda	mander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pleust	plaire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
conmanda	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nons	nom	NOMcom	NOMB.=s|GENRE=m|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
conneus	conoistre	VERppe	NOMB.=s|GENRE=m|CAS=n
seroit	estre1	VERcjg	MODE=con|PERS.=3|NOMB.=s
conceus	concevoir	VERppe	NOMB.=s|GENRE=m|CAS=n
feroit	faire	VERcjg	MODE=con|PERS.=3|NOMB.=s
bauptiste	batiste	NOMcom	NOMB.=s|GENRE=m|CAS=r
apostre	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=r
euvangeliste	evangeliste	NOMcom	NOMB.=s|GENRE=m|CAS=r
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
sovenir	sovenir	VERinf	MORPH=empty
aller	aler	VERinf	MORPH=empty
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
commanda	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
oirre	erre3	NOMcom	NOMB.=s|GENRE=m|CAS=r
aprester	aprester	VERinf	MORPH=empty
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
cure	cure	NOMcom	NOMB.=s|GENRE=f|CAS=r
arester	arester	VERinf	MORPH=empty
faire	faire	VERinf	MORPH=empty
delaiement	delaiement	NOMcom	NOMB.=s|GENRE=m|CAS=r
Pres	prest1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
commandement	comandement	NOMcom	NOMB.=s|GENRE=m|CAS=r
voie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r
covint	covenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
erra	errer2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
devotion	devocïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
reçut	recevoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
procession	processïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
vesques	evesque	NOMcom	NOMB.=s|GENRE=m|CAS=n
clergiés	clergié	NOMcom	NOMB.=s|GENRE=m|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=x|CAS=r|DEGRE=p
honor	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
herbergiés	herbergier	VERppe	NOMB.=s|GENRE=m|CAS=n
atendi	atendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sejorna	sejorner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
jors	jor	NOMcom	NOMB.=s|GENRE=m|CAS=n
nommez	nomer	VERppe	NOMB.=s|GENRE=m|CAS=n
ajorna	ajorner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vesques	evesque	NOMcom	NOMB.=s|GENRE=m|CAS=n
mandé	mander	VERppe	NOMB.=s|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
apelot	apeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
eglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
nommé	nomer	VERppe	NOMB.=s|GENRE=m|CAS=r
usage	usage	NOMcom	NOMB.=s|GENRE=m|CAS=r
savoit	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
rere	rere	VERinf	MORPH=empty
roaingnier	röoignier	VERinf	MORPH=empty
acroistre	acroistre	VERinf	MORPH=empty
proveignier	provignier	VERinf	MORPH=empty
ost	ost	NOMcom	NOMB.=s|GENRE=x|CAS=r
entrerent	entrer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
aresterent	arester	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
laissierent	laissier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
pooir	pöoir	NOMcom	NOMB.=s|GENRE=m|CAS=r
homme	ome	NOMcom	NOMB.=p|GENRE=m|CAS=n
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
partie	partie	NOMcom	NOMB.=s|GENRE=f|CAS=r
pot	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
avoir	avoir	VERinf	MORPH=empty
delivrance	delivrance	NOMcom	NOMB.=s|GENRE=f|CAS=r
tribulacion	tribulacïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
temps	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
eüst	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
esteit	estre1	VERppe	NOMB.=s|GENRE=m|CAS=r
preus	pro	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
conneüst	conoistre	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
retint	retenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
garda	garder	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
communs	comun	NOMcom	NOMB.=s|GENRE=m|CAS=n
esgarda	esgarder	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
