form	lemma	POS	morph
N	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
mervelles	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=n
vilain	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=n
se	se	CONsub	MORPH=empty
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n
ies	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
rice	riche	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Oiés	öir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
seignor	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
croisse	croistre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
bonté	bonté	NOMcom	NOMB.=s|GENRE=f|CAS=r
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
glorious	glorïos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
crois	croiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pené	pener	VERppe	NOMB.=s|GENRE=m|CAS=n
s	si	ADVgen	DEGRE=-
orrés	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
canchon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
nobilité	nobilité	NOMcom	NOMB.=s|GENRE=f|CAS=r
molt	mout	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Guillelmes	Guilaume	NOMpro	NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
peril	peril	NOMcom	NOMB.=s|GENRE=m|CAS=r
entresque	entresque	PRE	MORPH=empty
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Otran	Otran	NOMpro	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
molt	mout	ADVgen	DEGRE=-
desmesurés	desmesurer	VERppe	NOMB.=s|GENRE=m|CAS=n
plus	plus	ADVgen	DEGRE=c
felons	felon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
