form	lemma	POS	morph
povres	povre	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
jurerent	jurer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
ocirroient	ocire	VERcjg	MODE=con|PERS.=3|NOMB.=p
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
jenvier	jenvier	NOMcom	NOMB.=s|GENRE=m|CAS=r
conseles	consule	NOMcom	NOMB.=p|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
refusez	refuser	VERppe	NOMB.=p|GENRE=m|CAS=r
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r
sousfroit	sofrir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
fussent	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p
consele	consule	NOMcom	NOMB.=p|GENRE=m|CAS=n
sanators	senator	NOMcom	NOMB.=p|GENRE=m|CAS=r
avoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
juré	jurer	VERppe	NOMB.=s|GENRE=m|CAS=r
ocirre	ocire	VERinf	MORPH=empty
destorba	destorber	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
conjuroison	conjuracïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
envoiez	envoiier	VERppe	NOMB.=s|GENRE=m|CAS=n
conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=r
senat	senat	NOMcom	NOMB.=s|GENRE=m|CAS=r
ostz	ost	NOMcom	NOMB.=s|GENRE=f|CAS=r
loa	löer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
senaz	senat	NOMcom	NOMB.=s|GENRE=m|CAS=n
loa	löer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esloignier	esloignier	VERinf	MORPH=empty
cité	cité	NOMcom	NOMB.=s|GENRE=f|CAS=r
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
noiseus	noisos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
dignetez	dignité	NOMcom	NOMB.=s|GENRE=f|CAS=r
afebloiee	afebliier	VERppe	NOMB.=s|GENRE=f|CAS=r
amenuisiee	amenuisier	VERppe	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
dictators	dictator	NOMcom	NOMB.=s|GENRE=m|CAS=n
remist	remetre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
droit	droit	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
estate	estate	NOMcom	NOMB.=s|GENRE=m|CAS=r
point	point	NOMcom	NOMB.=s|GENRE=m|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
revenir	revenir	VERinf	MORPH=empty
cité	cité	NOMcom	NOMB.=s|GENRE=f|CAS=r
frere	frere	NOMcom	NOMB.=s|GENRE=m|CAS=r
fame	feme	NOMcom	NOMB.=s|GENRE=f|CAS=r
