form	lemma	POS	morph
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
porter	porter	VERinf	MORPH=empty
lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r
robe	robe	NOMcom	NOMB.=s|GENRE=f|CAS=r
drap	drap	NOMcom	NOMB.=s|GENRE=m|CAS=r
soie	soie3	NOMcom	NOMB.=s|GENRE=f|CAS=r
ynde	inde	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fez	faire	VERppe	NOMB.=s|GENRE=m|CAS=n
tissuz	tistre	VERppe	NOMB.=s|GENRE=m|CAS=n
vestir	vestir	VERinf	MORPH=empty
feïst	faire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
envoia	envoiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
dras	drap	NOMcom	NOMB.=p|GENRE=m|CAS=r
veez	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
vestirez	vestir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
creez	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
vallez	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Biau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
porriez	pöoir	VERcjg	MODE=con|PERS.=2|NOMB.=p
dire	dire	VERinf	MORPH=empty
drap	drap	NOMcom	NOMB.=p|GENRE=m|CAS=n
mere	mere	NOMcom	NOMB.=s|GENRE=f|CAS=n
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
valent	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
voulez	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
veste	vestir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
Vallet	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
foy	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
teste	teste	NOMcom	NOMB.=s|GENRE=f|CAS=r
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
preudom	prodome	NOMcom	NOMB.=s|GENRE=m|CAS=n
valent	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
deïstes	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p
biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fet	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
pareille	pareil	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
