form	lemma	POS	morph
Bien	bien1	ADVgen	DEGRE=p
savoit	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
ke	que4	CONsub	MORPH=empty
tant	tant	ADVgen	DEGRE=-
plus	plus	ADVgen	DEGRE=c
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
sanior	seignor	NOMpro	NOMB.=s|GENRE=m|CAS=r
agreie	agreer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
gemme	geme	NOMcom	NOMB.=s|GENRE=f|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
plus	plus	ADVgen	DEGRE=c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
polie	polir	VERppe	NOMB.=s|GENRE=f|CAS=n
et	et	CONcoo	MORPH=empty
esmereie	esmerer	VERppe	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
Bien	bien1	ADVgen	DEGRE=p
savoit	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
ke	que4	CONsub	MORPH=empty
lo	le	DETdef	NOMB.=s|GENRE=m|CAS=r
lin	lin	NOMcom	NOMB.=s|GENRE=m|CAS=r
dont	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
vult	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cansil	caisil	NOMcom	NOMB.=s|GENRE=m|CAS=r
faire	faire	VERinf	MORPH=empty
covient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mut	mout	ADVgen	DEGRE=-
travilhier	travaillier	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
batre	batre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
trieleir	treillier	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
traire	traire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
S	se	CONsub	MORPH=empty
’	’	PONfbl	MORPH=empty
om	on	PROind	NOMB.=s|GENRE=n|CAS=n
volt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
lo	le	DETdef	NOMB.=s|GENRE=m|CAS=r
drap	drap	NOMcom	NOMB.=s|GENRE=m|CAS=r
si	si	ADVgen	DEGRE=-
blanc	blanc	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
ke	que4	CONsub	MORPH=empty
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=n
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=n
n	ne1	ADVneg	MORPH=empty
’	’	PONfbl	MORPH=empty
i	i2	PROadv	MORPH=empty
paire	paroir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
sovent	sovent	ADVgen	DEGRE=p
lo	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
stuet	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
laveir	laver	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
metre	metre2	VERinf	MORPH=empty
à	a3	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
’	’	PONfbl	MORPH=empty
aiwe	aigue	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
retraire	retraire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
L	le	DETdef	NOMB.=s|GENRE=m|CAS=n
’	’	PONfbl	MORPH=empty
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=n
c	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
um	on	PROind	NOMB.=s|GENRE=n|CAS=n
vult	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
asseoir	asseoir	VERinf	MORPH=empty
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
corone	corone	NOMcom	NOMB.=s|GENRE=f|CAS=r
al	a3+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
covient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mut	mout	ADVgen	DEGRE=-
estre	estre1	VERinf	MORPH=empty
fin	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
pur	pur	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
bone	bon	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
tant	tant	ADVgen	DEGRE=-
ne	ne2	CONcoo	MORPH=empty
quant	cant2	ADVgen	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avoir	avoir	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
theche	tache	NOMcom	NOMB.=s|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
soi	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
S	se	CONsub	MORPH=empty
’	’	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
’	’	PONfbl	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vrais	verai	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
,	,	PONfbl	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Ostez	oster2	VERcjg	MODE=imp|PERS.=2|NOMB.=p
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ensus	ensus	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
faisoit	faire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
lo	le	DETdef	NOMB.=s|GENRE=m|CAS=n
saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
penseir	penser	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
repenseir	repenser	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
L	le	DETdef	NOMB.=s|GENRE=f|CAS=r
’	’	PONfbl	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
foiz	foiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
voloit	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
pierre	piere	NOMcom	NOMB.=s|GENRE=f|CAS=r
jeteir	jeter	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
’	’	PONfbl	MORPH=empty
autre	autre	PROind	NOMB.=s|GENRE=f|CAS=r
disoit	dire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Ancor	encore	ADVgen	DEGRE=-
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
i	i2	PROadv	MORPH=empty
covient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
demoreir	demorer	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
trop	trop	ADVgen	DEGRE=-
tost	tost1	ADVgen	DEGRE=p
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
plaie	plaie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
l	le	DETdef	NOMB.=s|GENRE=x|CAS=r
’	’	PONfbl	MORPH=empty
emplastre	emplastre	NOMcom	NOMB.=s|GENRE=x|CAS=r
oster	oster2	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
ke	que2	PROrel	NOMB.=s|GENRE=n|CAS=r
prodome	prodome	NOMcom	NOMB.=p|GENRE=n|CAS=n
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
bien	bien1	ADVgen	DEGRE=p
engarder	engarder	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
por	por2	PRE	MORPH=empty
lo	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
servise	servise	NOMcom	NOMB.=s|GENRE=m|CAS=r
jur	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
soi	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
travalhe	travaillier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vult	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
partir	partir	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
assalhe	assalir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
por	por2	PRE	MORPH=empty
s	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
’	’	PONfbl	MORPH=empty
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
conquerre	conquerre	VERinf	MORPH=empty
ades	adès	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
batalhe	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
kank	cantque	PROrel	NOMB.=s|GENRE=n|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
vult	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
proier	priier	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Deus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
donrat	doner	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
sen	sans	PRE	MORPH=empty
falle	falie	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
Mais	mais1	CONcoo	MORPH=empty
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
’	’	PONfbl	MORPH=empty
avons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
