form	lemma	POS	morph
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
defende	defendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
Banins	Banin	NOMpro	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
aiés	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
desloiauté	deslëauté	NOMcom	NOMB.=s|GENRE=f|CAS=r
ne	ne2	CONcoo	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
fachiés	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
Itant	itant	ADVgen	DEGRE=-
en	en2	PROadv	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
plus	plus	ADVgen	DEGRE=c
en	en2	PROadv	MORPH=empty
eust	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
parlei	parler	VERppe	NOMB.=s|GENRE=m|CAS=r
s	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
osast	oser	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
Mais	mais1	CONcoo	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
senescaus	seneschal	NOMcom	NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
forche	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
si	si	ADVgen	DEGRE=-
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
