form	lemma	POS	morph
volt	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
veinterunt	veintre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
greinur	graignor	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=c
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
averunt	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
haut	haut	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
fust	fust1	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
muntee	monter	VERppe	NOMB.=s|GENRE=f|CAS=n
esgarder	esgarder	VERinf	MORPH=empty
assemblee	assemblee	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vis	vis2	NOMcom	NOMB.=s|GENRE=m|CAS=n
escïent	escïent	NOMcom	NOMB.=s|GENRE=m|CAS=r
liuns	lïon	NOMcom	NOMB.=s|GENRE=m|CAS=n
aveit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
greinur	graignor	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=c
justise	justice	NOMcom	NOMB.=s|GENRE=f|CAS=r
suriz	soriz	NOMcom	NOMB.=p|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=n
egles	aiglel	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
munt	mont	NOMcom	NOMB.=s|GENRE=m|CAS=r
volez	voler	VERppe	NOMB.=s|GENRE=m|CAS=n
oiseus	oisel	NOMcom	NOMB.=p|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mandez	mander	VERppe	NOMB.=p|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
viendrent	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
bestes	beste	NOMcom	NOMB.=p|GENRE=f|CAS=n
fous	fol3	NOMcom	NOMB.=p|GENRE=m|CAS=r
tiendrent	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
chave	chauf	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
suriz	soriz	NOMcom	NOMB.=s|GENRE=m|CAS=n
veit	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pesa	peser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esteit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
bestes	beste	NOMcom	NOMB.=p|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
departie	departir	VERppe	NOMB.=s|GENRE=f|CAS=n
lïuns	lïon	NOMcom	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
escharnist	escharnir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
