form	lemma	POS	morph
prarie	präerie	NOMcom	NOMB.=s|GENRE=f|CAS=r
paist	paistre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
escoute	escouter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tait	taire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pance	penser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
die	dire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
chemin	chemin	NOMcom	NOMB.=s|GENRE=m|CAS=r
tenu	tenir1	VERppe	NOMB.=s|GENRE=m|CAS=r
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
praerie	präerie	NOMcom	NOMB.=s|GENRE=f|CAS=r
venu	venir	VERppe	NOMB.=p|GENRE=m|CAS=n
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
poulain	polain	NOMcom	NOMB.=s|GENRE=m|CAS=n
suioit	sivre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
jors	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
lous	lou	NOMcom	NOMB.=s|GENRE=m|CAS=n
pot	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tere	taire	VERinf	MORPH=empty
die	dire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
gras	cras	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
tandre	tendre2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
vouroit	voloir	VERcjg	MODE=con|PERS.=3|NOMB.=s
quartier	cartier	NOMcom	NOMB.=s|GENRE=m|CAS=r
tandre	tendre1	VERinf	MORPH=empty
di	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
donroies	doner	VERcjg	MODE=con|PERS.=2|NOMB.=s
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
estre	estre1	VERinf	MORPH=empty
pourroies	pöoir	VERcjg	MODE=con|PERS.=2|NOMB.=p
quartier	cartier	NOMcom	NOMB.=s|GENRE=m|CAS=r
departiroie	departir	VERcjg	MODE=con|PERS.=1|NOMB.=s
