form	lemma	POS	morph
frandouilla	frandoilliier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
retorne	retorner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sejorne	sejorner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
laissié	laissier	VERppe	NOMB.=s|GENRE=m|CAS=r
fol	fol3	NOMcom	NOMB.=s|GENRE=m|CAS=r
laissa	laissier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
pendant	pendre	VERppa	NOMB.=s|GENRE=m|CAS=r
col	col	NOMcom	NOMB.=s|GENRE=m|CAS=r
rous	ros3	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
mals	mal1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fus	feu	NOMcom	NOMB.=s|GENRE=m|CAS=n
arde	ardre	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
vingnes	vigne1	NOMcom	NOMB.=p|GENRE=f|CAS=r
garde	garde	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mastins	mastin	NOMcom	NOMB.=s|GENRE=m|CAS=n
deceüs	decevoir	VERppe	NOMB.=s|GENRE=m|CAS=n
viniers	vinier	NOMcom	NOMB.=p|GENRE=m|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
perceüs	perçoivre	VERppe	NOMB.=s|GENRE=m|CAS=n
maçues	maçüe	NOMcom	NOMB.=p|GENRE=f|CAS=r
roenials	reinal	NOMcom	NOMB.=p|GENRE=m|CAS=r
aunerent	äuner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
burials	burel2	NOMcom	NOMB.=p|GENRE=m|CAS=r
on	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
las	laz1	NOMcom	NOMB.=s|GENRE=m|CAS=r
batu	batre	VERppe	NOMB.=s|GENRE=m|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
abatu	abatre	VERppe	NOMB.=s|GENRE=m|CAS=r
brait	braire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
crie	crïer2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
contenir	contenir	VERinf	MORPH=empty
estuet	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
paine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r
escapa	eschaper	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vis	vif	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
