form	lemma	POS	morph
manez	manoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
pechié	pechié	NOMcom	NOMB.=s|GENRE=m|CAS=r
aiez	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
correchié	corrocier	VERppe	NOMB.=s|GENRE=m|CAS=r
confessez	confesser	VERcjg	MODE=imp|PERS.=2|NOMB.=p
repentez	repentir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
pechié	pechié	NOMcom	NOMB.=s|GENRE=m|CAS=r
departez	departir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
faites	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
vraie	verai	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
penitance	penitence	NOMcom	NOMB.=s|GENRE=f|CAS=r
sachiez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
doutance	dotance	NOMcom	NOMB.=s|GENRE=f|CAS=r
poez	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
revenir	revenir	VERinf	MORPH=empty
porroit	pöoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
avenir	avenir	VERinf	MORPH=empty
osque	osche	NOMcom	NOMB.=s|GENRE=f|CAS=r
porriez	pöoir	VERcjg	MODE=con|PERS.=2|NOMB.=p
asalder	assauter	VERinf	MORPH=empty
porriez	pöoir	VERcjg	MODE=con|PERS.=2|NOMB.=p
demander	demander	VERinf	MORPH=empty
Lance	lance	NOMcom	NOMB.=s|GENRE=f|CAS=r
sachiez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
savrez	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
verté	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r
fine	fin2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
secrez	secré	NOMcom	NOMB.=p|GENRE=m|CAS=r
oevre	uevre	NOMcom	NOMB.=s|GENRE=f|CAS=r
devine	devin1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
sozpire	sospirer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apense	apenser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
