form	lemma	POS	morph
Granz	grant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fais	fais	NOMcom	NOMB.=s|GENRE=m|CAS=n
avera	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
cure	cure	NOMcom	NOMB.=s|GENRE=f|CAS=r
prendra	prendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
sachez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
seinz	saint	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
apostres	apostle	NOMcom	NOMB.=p|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
maistre	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=n
covient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	estre1	VERinf	MORPH=empty
predome	prodome	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apostoile	apostoile	NOMcom	NOMB.=s|GENRE=m|CAS=n
noms	nom	NOMcom	NOMB.=p|GENRE=m|CAS=r
legat	legat1	NOMcom	NOMB.=s|GENRE=m|CAS=r
avomes	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
lue	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r
apostre	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=r
somes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
somes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
legaz	legat1	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
apostoiles	apostoile	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aposé	aposer	VERppe	NOMB.=s|GENRE=m|CAS=n
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
desiré	desirrer	VERppe	NOMB.=s|GENRE=m|CAS=r
clerc	clerc	NOMcom	NOMB.=p|GENRE=m|CAS=n
lai	lai3	NOMcom	NOMB.=p|GENRE=m|CAS=n
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
poez	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
refuser	refuser	VERinf	MORPH=empty
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
peché	pechié	NOMcom	NOMB.=s|GENRE=m|CAS=r
aler	aler	VERinf	MORPH=empty
respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
moverai	movoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
clef	clef	NOMcom	NOMB.=s|GENRE=f|CAS=r
ferges	fierge	NOMcom	NOMB.=p|GENRE=m|CAS=r
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mer	mer	NOMcom	NOMB.=s|GENRE=f|CAS=r
getee	jeter	VERppe	NOMB.=s|GENRE=f|CAS=n
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
clef	clef	NOMcom	NOMB.=s|GENRE=f|CAS=r
aportee	aporter	VERppe	NOMB.=s|GENRE=f|CAS=r
conté	conter	VERppe	NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
troverent	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
ferges	fierge	NOMcom	NOMB.=p|GENRE=m|CAS=r
osterent	oster2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
volstrent	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
faire	faire	VERinf	MORPH=empty
lever	lever	VERinf	MORPH=empty
[...]	pöoir	VERcjg	MORPH=empty
piez	pié	NOMcom	NOMB.=p|GENRE=m|CAS=r
ester	ester	VERinf	MORPH=empty
feibles	foible	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
esteit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
valor	valor	NOMcom	NOMB.=s|GENRE=f|CAS=r
aveit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
vigor	vigor	NOMcom	NOMB.=s|GENRE=f|CAS=r
