form	lemma	POS	morph
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
Chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
conui	conoistre	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vallez	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
vi	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
paller	parler	VERinf	MORPH=empty
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
hietes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
biauz	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
fusse	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
vermauz	vermeil1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
faiz	faire	VERppe	NOMB.=s|GENRE=m|CAS=n
mot	mot	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
traiz	traire	VERppe	NOMB.=s|GENRE=m|CAS=n
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
demande	demander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Veïs	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s
lande	lande1	NOMcom	NOMB.=s|GENRE=f|CAS=r
chevaliers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r
puceles	pucele	NOMcom	NOMB.=p|GENRE=f|CAS=r
vallez	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
noveles	novele	NOMcom	NOMB.=p|GENRE=f|CAS=r
enquerre	enquerre	VERinf	MORPH=empty
demander	demander	VERinf	MORPH=empty
entant	entendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
main	main2	NOMcom	NOMB.=s|GENRE=f|CAS=r
lance	lance	NOMcom	NOMB.=s|GENRE=f|CAS=r
tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
bel	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
gent	gent2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
tenoient	tenir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
Amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
descendez	descendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
chaceeur	chacëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
rendez	rendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
vallet	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=r
gardera	garder	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
volenté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
faite	faire	VERppe	NOMB.=s|GENRE=f|CAS=n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
fet	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
veu	vo	NOMcom	NOMB.=s|GENRE=m|CAS=r
onneur	onor	NOMcom	NOMB.=s|GENRE=f|CAS=r
preu	pro	NOMcom	NOMB.=s|GENRE=m|CAS=r
vallés	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
respondu	respondre1	VERppe	NOMB.=s|GENRE=m|CAS=r
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
descendu	descendre	VERppe	NOMB.=s|GENRE=m|CAS=n
encontrai	encontrer	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
lande	lande1	NOMcom	NOMB.=s|GENRE=f|CAS=r
voulez	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
descende	descendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
chief	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r
descendrai	descendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
faites	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
irai	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Biaus	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
chiers	chier	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
ferai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
preu	pro	NOMcom	NOMB.=s|GENRE=m|CAS=r
enor	onor	NOMcom	NOMB.=s|GENRE=f|CAS=r
