form	lemma	POS	morph
vescu	vivre1	VERppe	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
continence	continence	NOMcom	NOMB.=s|GENRE=f|CAS=r
avoye	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
prouffité	porfit(i)er	VERppe	NOMB.=s|GENRE=m|CAS=r
philosophie	filosofie	NOMcom	NOMB.=s|GENRE=f|CAS=r
theologie	teologie	NOMcom	NOMB.=s|GENRE=f|CAS=r
esloignaye	esloignier	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
philosophes	filosofe	NOMcom	NOMB.=p|GENRE=m|CAS=r
services	servise	NOMcom	NOMB.=p|GENRE=m|CAS=r
divins	devin1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
ordure	ordure	NOMcom	NOMB.=s|GENRE=f|CAS=r
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
certaine	certain	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n
philosophe	filosofe	NOMcom	NOMB.=p|GENRE=m|CAS=n
estoient	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
devin	devin1	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
entendans	entendre	VERppa	NOMB.=p|GENRE=m|CAS=n
amonestemens	amonestement	NOMcom	NOMB.=p|GENRE=m|CAS=r
sainte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
lecon	leçon	NOMcom	NOMB.=s|GENRE=f|CAS=r
resplendirent	resplendir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
beauté	biauté	NOMcom	NOMB.=s|GENRE=f|CAS=r
continence	continence	NOMcom	NOMB.=s|GENRE=f|CAS=r
travaillasse	travaillier	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
orgueil	orgueil	NOMcom	NOMB.=s|GENRE=m|CAS=r
luxure	luxure	NOMcom	NOMB.=s|GENRE=f|CAS=r
grace	grace	NOMcom	NOMB.=s|GENRE=f|CAS=n
donna	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
remede	remede	NOMcom	NOMB.=s|GENRE=m|CAS=r
maladie	maladie	NOMcom	NOMB.=s|GENRE=f|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tailler	taillier1	VERinf	MORPH=empty
robes	robe	NOMcom	NOMB.=p|GENRE=f|CAS=r
religion	religïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
couvenables	covenable	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
conversacion	conversacïon	NOMcom	NOMB.=s|GENRE=f|CAS=r
nonnain	none1	NOMcom	NOMB.=s|GENRE=f|CAS=r
voille	voile2	NOMcom	NOMB.=s|GENRE=m|CAS=r
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
vestir	vestir	VERinf	MORPH=empty
oncles	oncle	NOMcom	NOMB.=s|GENRE=m|CAS=n
cousin	cosin	NOMcom	NOMB.=p|GENRE=m|CAS=n
prochain	prochain	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
ami	ami	NOMcom	NOMB.=p|GENRE=m|CAS=n
oirent	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
cuidierent	cuidier1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
eusse	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
escharniz	escharnir	VERppe	NOMB.=p|GENRE=m|CAS=r
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
despit	despit	NOMcom	NOMB.=s|GENRE=m|CAS=r
voulsisse	voloir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
delivrer	delivrer	VERinf	MORPH=empty
faire	faire	VERinf	MORPH=empty
nonnain	none1	NOMcom	NOMB.=s|GENRE=f|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
desdaigneus	desdeignos	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
conjurerent	conjurer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
nuit	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=r
dormoie	dormir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
resposoie	resposer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r
secrete	secré	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
chamre	chambre1	NOMcom	NOMB.=s|GENRE=f|CAS=r
hostel	ostel	NOMcom	NOMB.=s|GENRE=m|CAS=r
