form	lemma	POS	morph
dotez	doter2	VERcjg	MODE=imp|PERS.=2|NOMB.=p
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
sauve	sauf	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
poine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r
Crestïens	Crestiien	NOMcom	NOMB.=s|GENRE=m|CAS=n
entant	entendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
poine	pener	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
commandemant	comandement	NOMcom	NOMB.=s|GENRE=m|CAS=r
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r
arimer	arimer	VERinf	MORPH=empty
meillor	meillor	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=s
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
contez	conter	VERppe	NOMB.=s|GENRE=m|CAS=n
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
reial	roial2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Contes	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=n
cuens	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
bailla	baillier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
livre	livre2	NOMcom	NOMB.=s|GENRE=m|CAS=r
oëz	öir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
delivre	delivrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tans	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
arbre	arbre	NOMcom	NOMB.=p|GENRE=m|CAS=n
florissent	florir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
foille	fueille	NOMcom	NOMB.=s|GENRE=f|CAS=n
bochaische	boschage	NOMcom	NOMB.=p|GENRE=m|CAS=n
pré	pré	NOMcom	NOMB.=p|GENRE=m|CAS=n
verdisent	verdir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
oisel	oisel	NOMcom	NOMB.=p|GENRE=m|CAS=n
latin	latin	NOMcom	NOMB.=s|GENRE=m|CAS=r
chantent	chanter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
matin	matin2	NOMcom	NOMB.=s|GENRE=m|CAS=r
riens	rien	NOMcom	NOMB.=s|GENRE=f|CAS=n
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
enflame	enflamer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
filz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
veve	veve2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r
bons	bon	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
dotance	dotance	NOMcom	NOMB.=s|GENRE=f|CAS=r
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
traire	traire	VERinf	MORPH=empty
savroit	savoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r
besoig	besoing	NOMcom	NOMB.=s|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
armez	armer	VERppe	NOMB.=s|GENRE=m|CAS=n
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
encontroit	encontrer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
vasal	vassal	NOMcom	NOMB.=s|GENRE=m|CAS=n
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
guaaignier	gäaignier1	VERinf	MORPH=empty
doteroit	doter2	VERcjg	MODE=con|PERS.=3|NOMB.=s
meaignier	mahaignier	VERinf	MORPH=empty
mort	mort	VERppe	NOMB.=s|GENRE=m|CAS=r
mehaignié	mahaignier	VERppe	NOMB.=s|GENRE=m|CAS=r
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
deffandre	defendre	VERinf	MORPH=empty
savra	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nices	nice	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
bestiaux	bestïal	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r
anviaux	envïos	NOMcom	NOMB.=s|GENRE=m|CAS=n
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
plaint	plaindre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
regrate	regreter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vallet	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chiere	chiere	NOMcom	NOMB.=s|GENRE=f|CAS=r
mate	mat	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
demandez	demander	VERppe	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
entandu	entendre	VERppe	NOMB.=s|GENRE=m|CAS=r
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r
plains	plein	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
remenez	remanoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
servise	servise	NOMcom	NOMB.=s|GENRE=m|CAS=r
prenez	prendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
servi	servir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
vi	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
jurer	jurer	VERinf	MORPH=empty
vosisse	voloir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=1|NOMB.=s
anorer	onorer	VERinf	MORPH=empty
remenoir	remanoir	VERinf	MORPH=empty
pria	priier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
preiere	priiere	NOMcom	NOMB.=s|GENRE=f|CAS=r
escondite	escondire	VERppe	NOMB.=s|GENRE=f|CAS=r
damoisele	damoisele	NOMcom	NOMB.=s|GENRE=f|CAS=n
petite	petit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
fole	fol3	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
malveise	mauvais	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
orroiz	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
dire	dire	VERinf	MORPH=empty
doiez	devoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=p
henor	onor	NOMcom	NOMB.=s|GENRE=x|CAS=r
avoir	avoir	VERinf	MORPH=empty
Laissiez	laissier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
feroiz	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
savoir	savoir	VERinf	MORPH=empty
roncin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r
amenez	amener	VERcjg	MODE=imp|PERS.=2|NOMB.=p
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=r
prenez	prendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
veez	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
restreigniez	restreindre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
palefroi	palefroi	NOMcom	NOMB.=s|GENRE=m|CAS=r
haidiez	aidier	VERcjg	MODE=imp|PERS.=2|NOMB.=p
monter	monter	VERinf	MORPH=empty
voil	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ester	ester	VERinf	MORPH=empty
monterai	monter	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
roncin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r
querrai	querre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
porrai	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
conseillier	conseillier1	VERinf	MORPH=empty
quier	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cessier	cesser	VERinf	MORPH=empty
soie	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
enoiliez	enoliier	VERppe	NOMB.=s|GENRE=m|CAS=n
confessez	confesser	VERppe	NOMB.=s|GENRE=m|CAS=n
commeniez	comuniier	VERppe	NOMB.=s|GENRE=m|CAS=n
droit	droit	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
seignor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
tienent	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
servir	servir	VERinf	MORPH=empty
vienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
promet	prometre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
servise	servise	NOMcom	NOMB.=s|GENRE=m|CAS=r
faintise	feintise	NOMcom	NOMB.=s|GENRE=f|CAS=r
puceles	pucele	NOMcom	NOMB.=p|GENRE=f|CAS=n
vienent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
seignor	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=r
tienent	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
desirré	desirrer	VERppe	NOMB.=s|GENRE=m|CAS=r
