form	lemma	POS	morph
donai	doner	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
quidai	cuidier1	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r
faire	faire	VERinf	MORPH=empty
mis	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
pecchié	pechié	NOMcom	NOMB.=s|GENRE=m|CAS=r
pois	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
retraire	retraire	VERinf	MORPH=empty
fui	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
Criator	crïator	NOMcom	NOMB.=s|GENRE=m|CAS=r
encliné	encliner	VERppe	NOMB.=s|GENRE=f|CAS=r
tien	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
discipline	descepline	NOMcom	NOMB.=s|GENRE=f|CAS=r
mesfesis	mesfaire	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=s
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
racine	racine	NOMcom	NOMB.=s|GENRE=f|CAS=n
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mescine	mecine	NOMcom	NOMB.=s|GENRE=f|CAS=n
mesfait	mesfait	NOMcom	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
mesaventure	mesaventure	NOMcom	NOMB.=s|GENRE=f|CAS=r
compera	comparer2	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
engendreore	engendrëure	NOMcom	NOMB.=s|GENRE=f|CAS=r
fruiz	fruit	NOMcom	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
dulz	douz	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
paine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dure	dur	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mangiez	mangier	VERppe	NOMB.=s|GENRE=m|CAS=n
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
fraiture	fraiture	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sperance	esperance	NOMcom	NOMB.=s|GENRE=f|CAS=n
mesfait	mesfait	NOMcom	NOMB.=s|GENRE=m|CAS=r
char	char2	NOMcom	NOMB.=s|GENRE=f|CAS=n
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
acordance	acordance	NOMcom	NOMB.=s|GENRE=f|CAS=n
rendra	rendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
grace	grace	NOMcom	NOMB.=s|GENRE=f|CAS=r
mustrance	mostrance	NOMcom	NOMB.=s|GENRE=f|CAS=r
gieter	jeter	VERinf	MORPH=empty
voldra	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
emfer	enfer	NOMcom	NOMB.=s|GENRE=m|CAS=r
pussance	poissance	NOMcom	NOMB.=s|GENRE=f|CAS=r
Frere	frere	NOMcom	NOMB.=s|GENRE=m|CAS=n
sumes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
germain	germain	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
voelt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
oir	öir	VERinf	MORPH=empty
merveille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r
