form	lemma	POS	morph
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
biax	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
filz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n
aler	aler	VERinf	MORPH=empty
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
irez	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
direz	dire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r
doint	doner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
contredit	contredit	NOMcom	NOMB.=s|GENRE=m|CAS=r
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
donra	doner	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
vandra	venir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
essai	essai	NOMcom	NOMB.=s|GENRE=m|CAS=r
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r
porter	porter	VERinf	MORPH=empty
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
feïstes	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p
veïstes	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p
faire	faire	VERinf	MORPH=empty
savroiz	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
chief	chief1	NOMcom	NOMB.=s|GENRE=m|CAS=r
traire	traire	VERinf	MORPH=empty
dot	doter2	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
seroiz	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
afeitiez	afaitier	VERppe	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mervoille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vis	vis2	NOMcom	NOMB.=s|GENRE=m|CAS=n
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
