form	lemma	POS	morph
ço	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
quident	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
por	por2	PRE	MORPH=empty
nient	nïent	PROind	NOMB.=s|GENRE=n|CAS=r
tut	tot	PROind	NOMB.=p|GENRE=m|CAS=n
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
’	’	PONfbl	MORPH=empty
en	en2	PROadv	MORPH=empty
irrunt	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
aillurs	aillors	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
e	et	CONcoo	MORPH=empty
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=r
secle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
perdrunt	perdre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
e	et	CONcoo	MORPH=empty
pus	puis	ADVgen	DEGRE=-
Deus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
estrurs	estros	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Quank	cantque	PROrel	NOMB.=s|GENRE=n|CAS=r
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
pus	puis	ADVgen	DEGRE=-
avrunt	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
ne	ne1	ADVneg	MORPH=empty
lur	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
gaires	gaire	ADVgen	DEGRE=-
pruz	pro	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
;	;	PONfbl	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
rien	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
jeo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
bien	bien1	ADVgen	DEGRE=p
,	,	PONfbl	MORPH=empty
sil	si+il	ADVgen.PROper	MORPH=empty+PERS.=3|NOMB.=s|GENRE=n|CAS=r
pus	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
dire	dire	VERinf	MORPH=empty
à	a3	PRE	MORPH=empty
bref	brief	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
moz	mot	NOMcom	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
mult	mout	ADVgen	DEGRE=-
apresme	aproismier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
jur	jor	NOMcom	NOMB.=s|GENRE=m|CAS=n
ke	que2	PROrel	NOMB.=x|GENRE=x|CAS=x
