form	lemma	POS	morph
contre	contre	PRE	MORPH=empty
charnau	charnel2	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
deleit	delit2	NOMcom	NOMB.=s|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
soa	son4	ADJpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
asta	aste	NOMcom	NOMB.=s|GENRE=f|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
florie	florir	VERppe	NOMB.=s|GENRE=f|CAS=n
;	;	PONfbl	MORPH=empty
e	et	CONcoo	MORPH=empty
s	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
’	’	PONfbl	MORPH=empty
arma	ame	NOMcom	NOMB.=s|GENRE=f|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
coronea	coroner	VERppe	NOMB.=s|GENRE=f|CAS=n
on	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
celestiau	celestïal	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
regne	regne	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
ço	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
tencera	tencier	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
longiament	longement2	ADVgen	DEGRE=p
contre	contre	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
vices	vice1	NOMcom	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
contre	contre	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
voler	voloir	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
charn	char2	NOMcom	NOMB.=s|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
terra	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
quar	car	CONcoo	MORPH=empty
ço	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
apostres	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
«	«	PONfbl	MORPH=empty
Nus	nul	DETind	NOMB.=s|GENRE=m|CAS=n
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
coronez	coroner	VERppe	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
si	si	ADVgen	DEGRE=-
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
non	non	ADVneg	MORPH=empty
,	,	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
leiaument	lëaument	ADVgen	DEGRE=p
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
conbatrant	combatre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
.	.	PONfrt	MORPH=empty
»	»	PONfbl	MORPH=empty
Eisi	ainsi	ADVgen	DEGRE=-
cum	come1	CONsub	MORPH=empty
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n
conbateor	combatëor	NOMcom	NOMB.=p|GENRE=m|CAS=n
chevalier	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=n
morirent	morir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r
par	par	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
fei	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m|CAS=r
Crist	crist	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
autresi	autresi	ADVgen	DEGRE=-
devom	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
morir	morir	VERinf	MORPH=empty
aus	a3+le	PRE.DETdef	MORPH=empty+NOMB.=p|GENRE=m|CAS=r
vizes	vice1	NOMcom	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
vivre	vivre1	VERinf	MORPH=empty
ou	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
ob	o4	PRE	MORPH=empty
saintes	saint	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
vertuz	vertu	NOMcom	NOMB.=p|GENRE=f|CAS=r
e	et	CONcoo	MORPH=empty
que	que4	CONsub	MORPH=empty
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
pochiam	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=p
aver	avoir	VERinf	MORPH=empty
par	par	PRE	MORPH=empty
lo	le	DETdef	NOMB.=s|GENRE=m|CAS=r
nostra	nostre	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
loier	loiier	NOMcom	NOMB.=s|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
corone	corone	NOMcom	NOMB.=s|GENRE=f|CAS=r
florie	florir	VERppe	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
mes	mais1	CONcoo	MORPH=empty
povres	povre	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
jurerent	jurer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
que	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
ocirroient	ocire	VERcjg	MODE=con|PERS.=3|NOMB.=p
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
premier	premier	ADJord	NOMB.=s|GENRE=m|CAS=r
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
jenvier	jenvier	NOMcom	NOMB.=s|GENRE=m|CAS=r
eu	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
Capitoile	capitoile	NOMpro	NOMB.=s|GENRE=m|CAS=r
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
ii	2	ADJcar	NOMB.=p|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
conseles	consule	NOMcom	NOMB.=p|GENRE=m|CAS=r
Luce	Lucius	NOMpro	NOMB.=s|GENRE=m|CAS=r
Cote	Cotta	NOMpro	NOMB.=s|GENRE=x|CAS=r
et	et	CONcoo	MORPH=empty
Luce	Lucius	NOMpro	NOMB.=s|GENRE=m|CAS=r
Torquat	Torquatus	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
por	por2	PRE	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
que	que4	CONsub	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=n|CAS=n
’	’	PONfbl	MORPH=empty
en	on	PROind	NOMB.=s|GENRE=n|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
refusez	refuser	VERppe	NOMB.=p|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r
arriere	ariere	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
sousfroit	sofrir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=n|CAS=n
’	’	PONfbl	MORPH=empty
