form	lemma	POS	morph
tens	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
romanz	romanz	NOMcom	NOMB.=s|GENRE=m|CAS=n
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=n
trové	trover	VERppe	NOMB.=s|GENRE=m|CAS=n
romanz	romanz	NOMcom	NOMB.=s|GENRE=m|CAS=n
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
igliese	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r
trovement	trovement	NOMcom	NOMB.=s|GENRE=m|CAS=r
clers	clerc	NOMcom	NOMB.=s|GENRE=m|CAS=r
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
moines	moine1	NOMcom	NOMB.=p|GENRE=m|CAS=r
durent	durer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
miracles	miracle	NOMcom	NOMB.=p|GENRE=m|CAS=n
resunt	restre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
escrit	escrire	VERppe	NOMB.=p|GENRE=m|CAS=n
ei	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ai	öir	VERcjg	NOMB.=s|GENRE=m|CAS=r
dit	dire	VERppe	NOMB.=s|GENRE=n|CAS=r
vers	vers1	NOMcom	NOMB.=p|GENRE=m|CAS=r
fenirai	fenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
romanz	romanz	NOMcom	NOMB.=s|GENRE=m|CAS=r
commencerai	comencier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
eirt	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
aveit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
ample	ample	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
poissance	poissance	NOMcom	NOMB.=s|GENRE=f|CAS=r
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
evesque	evesque	NOMcom	NOMB.=s|GENRE=m|CAS=r
esteit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
seinte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
escriz	escrit	NOMcom	NOMB.=s|GENRE=m|CAS=n
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
