form	lemma	POS	morph
Esjoient	esjöir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
sei	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
esleecent	eslëecier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
en	en1	PRE	MORPH=empty
tei	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
tuit	tot	DETind	NOMB.=p|GENRE=m|CAS=n
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
quierent	querre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
tei	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
tutes	tot	DETind	NOMB.=p|GENRE=f|CAS=r
ures	ore3	NOMcom	NOMB.=p|GENRE=f|CAS=r
Seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
magnifiéd	magnefiier	VERppe	NOMB.=s|GENRE=m|CAS=n
Deus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
aiment	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
tun	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
salud	salu	NOMcom	NOMB.=s|GENRE=m|CAS=r
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
acertes	a3+certes	ADVgen	DEGRE=-
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
busuignus	besoignos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
e	et	CONcoo	MORPH=empty
povres	povre	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
Deus	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
haste	haster	VERcjg	MODE=imp|PERS.=2|NOMB.=s
tei	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
pur	por2	PRE	MORPH=empty
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
O	o2	INJ	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
meie	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
aïe	äie	NOMcom	NOMB.=s|GENRE=f|CAS=n
e	et	CONcoo	MORPH=empty
mis	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
salverre	sauvëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
demuerges	demorer	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=s
En	en1	PRE	MORPH=empty
tei	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
esperai	esperer	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
ne	ne1	ADVneg	MORPH=empty
serei	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
cunfundut	confondre	VERppe	NOMB.=s|GENRE=m|CAS=n
el	en1+le	PRE.DETdef	MORPH=empty+NOMB.=s|GENRE=m|CAS=r
siecle	siecle	NOMcom	NOMB.=s|GENRE=m|CAS=r
En	en1	PRE	MORPH=empty
ta	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
justise	justice	NOMcom	NOMB.=s|GENRE=f|CAS=r
guaris	garir	VERcjg	MODE=imp|PERS.=2|NOMB.=s
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
delivre	delivrer	VERcjg	MODE=imp|PERS.=2|NOMB.=s
encline	encliner	VERcjg	MODE=imp|PERS.=2|NOMB.=s
à	a3	PRE	MORPH=empty
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
ta	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
oreille	oreille	NOMcom	NOMB.=s|GENRE=f|CAS=r
e	et	CONcoo	MORPH=empty
salve	sauver	VERcjg	MODE=imp|PERS.=2|NOMB.=s
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
Seies	estre1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
à	a3	PRE	MORPH=empty
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
fort	fort	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
habitacles	abitacle	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que4	CONsub	MORPH=empty
