form	lemma	POS	morph
Legistres	legistre	NOMcom	NOMB.=p|GENRE=m|CAS=n
faus	faus	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
luïz	loëiz	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p
ke	que2	PROrel	NOMB.=p|GENRE=m|CAS=r
prudume	prodome	NOMcom	NOMB.=s|GENRE=m|CAS=n
deit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
creire	croire	VERinf	MORPH=empty
enviz	enviz	ADVgen	DEGRE=-
pur	por2	PRE	MORPH=empty
fere	faire	VERinf	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
cuvent	covent1	NOMcom	NOMB.=s|GENRE=m|CAS=r
despendre	dependre	VERinf	MORPH=empty
dunt	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
pusent	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
lur	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
proie	proie	NOMcom	NOMB.=s|GENRE=f|CAS=r
prendre	prendre	VERinf	MORPH=empty
dunent	doner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
cunseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=r
à	a3	PRE	MORPH=empty
Canterbire	Canterbury	NOMpro	NOMB.=s|GENRE=x|CAS=r
tute	tot	DETind	NOMB.=s|GENRE=f|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
furme	forme	NOMcom	NOMB.=s|GENRE=f|CAS=r
à	a3	PRE	MORPH=empty
cuntredire	contredire	VERinf	MORPH=empty
dunt	dont	PROrel	NOMB.=x|GENRE=x|CAS=x
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
paez	paie	VERppe	NOMB.=p|GENRE=m|CAS=n
avant	avant	ADVgen	DEGRE=p
et	et	CONcoo	MORPH=empty
quasser	casser	VERinf	MORPH=empty
tut	tot	DETind	NOMB.=s|GENRE=m|CAS=n
lur	lor2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cuvenant	covenant	NOMcom	NOMB.=s|GENRE=m|CAS=r
dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
à	a3	PRE	MORPH=empty
ceus	cel	PROdem	NOMB.=p|GENRE=m|CAS=r
lur	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=n
faus	faus	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
legistre	legistre	NOMcom	NOMB.=p|GENRE=m|CAS=n
ke	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
deceu	decevoir	VERppe	NOMB.=s|GENRE=m|CAS=r
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tut	tot	DETind	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
chapitre	chapitre	NOMcom	NOMB.=s|GENRE=m|CAS=r
Edmund	Edmond	NOMpro	NOMB.=s|GENRE=m|CAS=n
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
veuz	vieil	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
papelarz	papelart	NOMcom	NOMB.=s|GENRE=m|CAS=n
k	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
à	a3	PRE	MORPH=empty
nices	nice	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
vus	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
rent	rendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
musarz	musart	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
ke	que4	CONcoo	MORPH=empty
sun	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
pru	pro	NOMcom	NOMB.=s|GENRE=m|CAS=r
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tant	tant	ADVgen	DEGRE=-
sulement	solement2	ADVgen	DEGRE=-
cuntre	contre	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
dreit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r
ke	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
apent	apendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
A	a3	PRE	MORPH=empty
tant	tant	ADVgen	DEGRE=-
ensiwit	ensivre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ke	que4	CONsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
covent	covent1	NOMcom	NOMB.=s|GENRE=m|CAS=n
