form	lemma	POS	morph
charnau	charnel2	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
deleit	delit2	NOMcom	NOMB.=s|GENRE=m|CAS=r
asta	aste	NOMcom	NOMB.=s|GENRE=f|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
florie	florir	VERppe	NOMB.=s|GENRE=f|CAS=n
arma	ame	NOMcom	NOMB.=s|GENRE=f|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
coronea	coroner	VERppe	NOMB.=s|GENRE=f|CAS=n
celestiau	celestïal	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
regne	regne	NOMcom	NOMB.=s|GENRE=m|CAS=r
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
tencera	tencier	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
vices	vice1	NOMcom	NOMB.=p|GENRE=m|CAS=r
voler	voloir	NOMcom	NOMB.=s|GENRE=m|CAS=r
charn	char2	NOMcom	NOMB.=s|GENRE=f|CAS=r
terra	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
apostres	apostle	NOMcom	NOMB.=s|GENRE=m|CAS=n
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
coronez	coroner	VERppe	NOMB.=s|GENRE=m|CAS=n
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
conbatrant	combatre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
conbateor	combatëor	NOMcom	NOMB.=p|GENRE=m|CAS=n
chevalier	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=n
morirent	morir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r
fei	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r
devom	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
morir	morir	VERinf	MORPH=empty
vizes	vice1	NOMcom	NOMB.=p|GENRE=m|CAS=r
vivre	vivre1	VERinf	MORPH=empty
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r
